FICO,ADVANCE,APR,Monthly72
680,100,0.083847217,0.017454219
690,100,0.078941155,0.017239804
700,100,0.074035094,0.017026017
710,100,0.069129032,0.016812875
720,100,0.068110713,0.016768717
730,100,0.067092393,0.016724588
740,100,0.066074074,0.016680488
550,105,0.243757042,0.024681169
560,105,0.22252884,0.023704299
570,105,0.201300637,0.02273067
580,105,0.180072435,0.021761352
590,105,0.164241967,0.021041984
600,105,0.153809234,0.020569795
610,105,0.143376501,0.020099282
620,105,0.132943768,0.019630596
630,105,0.122511035,0.019163892
640,105,0.112078302,0.018699326
650,105,0.10164557,0.018237062
660,105,0.096706209,0.018019054
670,105,0.091766849,0.017801616
680,105,0.086827489,0.017584767
690,105,0.081888129,0.017368525
700,105,0.076948769,0.017152907
710,105,0.072009409,0.016937933
720,105,0.070030964,0.01685201
730,105,0.068052519,0.016766195
740,105,0.066074074,0.016680488
550,110,0.25034507,0.024984834
560,110,0.228222669,0.023966039
570,110,0.206100268,0.022950467
580,110,0.183977867,0.021939307
590,110,0.167671211,0.021197534
600,110,0.157180299,0.020722194
610,110,0.146689387,0.020248501
620,110,0.136198475,0.019776607
630,110,0.125707562,0.019306667
640,110,0.11521665,0.018838841
650,110,0.104725738,0.018373293
660,110,0.099753079,0.018153467
670,110,0.094780421,0.017934209
680,110,0.089807762,0.017715537
690,110,0.084835103,0.017497468
700,110,0.079862444,0.017280021
710,110,0.074889785,0.017063215
720,110,0.071951215,0.016935404
730,110,0.069012644,0.016807827
740,110,0.066074074,0.016680488
550,115,0.256933099,0.025288686
560,115,0.233916499,0.024227993
570,115,0.210899899,0.023170471
580,115,0.1878833,0.022117439
590,115,0.171100454,0.021353245
600,115,0.160551363,0.020874764
610,115,0.150002272,0.0203979
620,115,0.139453181,0.019922806
630,115,0.12890409,0.019449639
640,115,0.118354998,0.01897856
650,115,0.107805907,0.018509733
660,115,0.10279995,0.018288094
670,115,0.097793992,0.018067017
680,115,0.092788034,0.017846523
690,115,0.087782077,0.017626629
700,115,0.082776119,0.017407355
710,115,0.077770161,0.017188719
720,115,0.073871466,0.017018898
730,115,0.06997277,0.016849484
740,115,0.066074074,0.016680488
550,120,0.263521127,0.025592697
560,120,0.239610329,0.024490141
570,120,0.215699531,0.02339067
580,120,0.191788732,0.02229574
590,120,0.174529698,0.02150911
600,120,0.163922428,0.021027499
610,120,0.153315157,0.020547473
620,120,0.142707887,0.020069188
630,120,0.132100617,0.019592802
640,120,0.121493346,0.019118478
650,120,0.110886076,0.018646381
660,120,0.10584682,0.018422928
670,120,0.100807563,0.018200036
680,120,0.095768307,0.017977722
690,120,0.09072905,0.017756005
700,120,0.085689794,0.017534905
710,120,0.080650538,0.017314441
720,120,0.075791716,0.017102491
730,120,0.070932895,0.016891167
740,120,0.066074074,0.016680488
550,125,0.270109155,0.025896838
560,125,0.246292254,0.024798002
570,125,0.222475352,0.023701841
580,125,0.198658451,0.022609766
590,125,0.18115125,0.021810491
600,125,0.169953749,0.021301159
610,125,0.158756248,0.020793499
620,125,0.147558747,0.020287689
630,125,0.136361246,0.019783914
640,125,0.125163746,0.019282363
650,125,0.113966245,0.01878323
660,125,0.10889369,0.018557968
670,125,0.103821134,0.018333262
680,125,0.098748579,0.01810913
690,125,0.093676024,0.017885592
700,125,0.088603469,0.017662668
710,125,0.083530914,0.017440377
720,125,0.078813202,0.01723422
730,125,0.07409549,0.017028645
740,125,0.069377778,0.016823666
550,130,0.276697183,0.026201084
560,130,0.252974178,0.025106073
570,130,0.229251174,0.024013342
580,130,0.205528169,0.022924257
590,130,0.187772801,0.022112396
600,130,0.17598507,0.021575305
610,130,0.164197339,0.021039961
620,130,0.152409607,0.020506572
630,130,0.140621876,0.019975348
640,130,0.128834145,0.019446508
650,130,0.117046414,0.018920277
660,130,0.11194056,0.018693208
670,130,0.106834706,0.01846669
680,130,0.101728852,0.018240743
690,130,0.096622998,0.018015386
700,130,0.091517144,0.01779064
710,130,0.08641129,0.017566523
720,130,0.081834687,0.017366188
730,130,0.077258084,0.017166391
740,130,0.072681481,0.016967145
550,135,0.283285211,0.026505409
560,135,0.259656103,0.025414324
570,135,0.236026995,0.02432514
580,135,0.212397887,0.023239175
590,135,0.194394352,0.02241479
600,135,0.182016391,0.021849908
610,135,0.169638429,0.02128684
620,135,0.157260467,0.020725821
630,135,0.144882506,0.020167093
640,135,0.132504544,0.019610906
650,135,0.120126582,0.019057519
660,135,0.11498743,0.018828644
670,135,0.109848277,0.018600317
680,135,0.104709124,0.018372557
690,135,0.099569972,0.018145384
700,135,0.094430819,0.017918816
710,135,0.089291667,0.017692876
720,135,0.084856173,0.01749839
730,135,0.080420679,0.0173044
740,135,0.075985185,0.017110918
550,140,0.289873239,0.026809785
560,140,0.266338028,0.025722727
570,140,0.242802817,0.024637202
580,140,0.219267606,0.023554486
590,140,0.201015904,0.022717638
600,140,0.188047712,0.022124941
610,140,0.17507952,0.021534114
620,140,0.162111327,0.020945422
630,140,0.149143135,0.020359139
640,140,0.136174943,0.019775551
650,140,0.123206751,0.019194949
660,140,0.1180343,0.018964273
670,140,0.112861848,0.01873414
680,140,0.107689397,0.018504569
690,140,0.102516946,0.01827558
700,140,0.097344494,0.018047194
710,140,0.092172043,0.017819432
720,140,0.087877658,0.017630822
730,140,0.083583274,0.017442668
740,140,0.079288889,0.017254981
