NUMBER,STD_MAKE,STD_MODEL,STD_TRIM,COUNT_NEW,COUNT_ALL, PCT_NEW , CUM_PCT_NEW 
895,BUICK,ENCLAVE,NAV,0,1, -   , 1.000000 
896,BUICK,LACROSSE,CX,0,1, -   , 1.000000 
897,BUICK,LACROSSE,CXL,0,3, -   , 1.000000 
898,BUICK,LACROSSE,PREM 2,0,1, -   , 1.000000 
899,BUICK,LESABRE,CUSTOM,0,3, -   , 1.000000 
900,BUICK,LUCERNE,CX,0,3, -   , 1.000000 
901,BUICK,LUCERNE,CXL,0,4, -   , 1.000000 
902,BUICK,LUCERNE,V6 CXL,0,3, -   , 1.000000 
903,BUICK,RAINIER,CXL,0,1, -   , 1.000000 
904,BUICK,REGAL,CXL,0,1, -   , 1.000000 
905,BUICK,REGAL,CXL TURBO TO2,0,1, -   , 1.000000 
906,BUICK,REGAL,CXL TURBO TO4,0,1, -   , 1.000000 
907,BUICK,RENDEZVOUS,,0,1, -   , 1.000000 
908,BUICK,REGAL,,0,1, -   , 1.000000 
909,BUICK,TERRAZA,CXL,0,1, -   , 1.000000 
910,CADILLAC,BROUGHAM,,0,1, -   , 1.000000 
911,CADILLAC,CTS,AWD,0,3, -   , 1.000000 
912,CADILLAC,CTS,COUPE,0,2, -   , 1.000000 
913,CADILLAC,CTS,RWD,0,2, -   , 1.000000 
914,CADILLAC,CTS,,0,4, -   , 1.000000 
915,CADILLAC,CTS,4DR SDN 3.0L,0,1, -   , 1.000000 
916,CADILLAC,CTS,LUX,0,2, -   , 1.000000 
917,CADILLAC,CTSV,BASE,0,1, -   , 1.000000 
918,CADILLAC,DEVILLE,,0,4, -   , 1.000000 
919,CADILLAC,DTS,LUX COLLECTION,0,3, -   , 1.000000 
920,CADILLAC,DTS,PREM COLLECTION,0,1, -   , 1.000000 
921,CADILLAC,DTS,,0,1, -   , 1.000000 
922,CADILLAC,ESCALADE,AWD,0,2, -   , 1.000000 
923,CADILLAC,ESCALADE,LUX AWD,0,3, -   , 1.000000 
924,CADILLAC,ESCALADE,,0,12, -   , 1.000000 
925,CADILLAC,SRX,LUX COLLECTION AWD,0,2, -   , 1.000000 
926,CADILLAC,SRX,RWD,0,2, -   , 1.000000 
927,CADILLAC,SRX,,0,5, -   , 1.000000 
928,CADILLAC,STS,BASE,0,2, -   , 1.000000 
929,CADILLAC,STS,RWD,0,1, -   , 1.000000 
930,CADILLAC,STS,,0,10, -   , 1.000000 
931,CADILLAC,XLR,,0,1, -   , 1.000000 
932,CHEVROLET,CORVETTE,STINGRAY,0,1, -   , 1.000000 
933,CHEVROLET,AVALANCHE,4WD,0,1, -   , 1.000000 
934,CHEVROLET,AVALANCHE,Z71,0,2, -   , 1.000000 
935,CHEVROLET,AVALANCHE,,0,1, -   , 1.000000 
936,CHEVROLET,AVEO,LS,0,1, -   , 1.000000 
937,CHEVROLET,AVEO,LT,0,8, -   , 1.000000 
938,CHEVROLET,AVEO,,0,2, -   , 1.000000 
939,CHEVROLET,BLAZER,LS,0,2, -   , 1.000000 
940,CHEVROLET,BLAZER,,0,1, -   , 1.000000 
941,CHEVROLET,C3500,,0,1, -   , 1.000000 
942,CHEVROLET,CAMARO,1SS,0,2, -   , 1.000000 
943,CHEVROLET,CAMARO,2LS,0,1, -   , 1.000000 
944,CHEVROLET,CAMARO,2LT,0,4, -   , 1.000000 
945,CHEVROLET,CAMARO,COUPE LT,0,4, -   , 1.000000 
946,CHEVROLET,CAMARO,RS,0,1, -   , 1.000000 
947,CHEVROLET,CAMARO,SPT,0,1, -   , 1.000000 
948,CHEVROLET,CAMARO,,0,3, -   , 1.000000 
949,CHEVROLET,CAPTIVA,2LS FWD,0,1, -   , 1.000000 
950,CHEVROLET,CAPTIVA,LS,0,1, -   , 1.000000 
951,CHEVROLET,CAPTIVA,LT,0,3, -   , 1.000000 
952,CHEVROLET,CAPTIVA,LTZ,0,2, -   , 1.000000 
953,CHEVROLET,CAVALIER,LS,0,1, -   , 1.000000 
954,CHEVROLET,CAVALIER,,0,4, -   , 1.000000 
955,CHEVROLET,CHEVY VAN,BASE,0,1, -   , 1.000000 
956,CHEVROLET,CLASSIC,4DR SDN LS,0,1, -   , 1.000000 
957,CHEVROLET,COBALT,4DR SDN LS,0,1, -   , 1.000000 
958,CHEVROLET,COBALT,LT,0,10, -   , 1.000000 
959,CHEVROLET,COLORADO,LT,0,4, -   , 1.000000 
960,CHEVROLET,CORSICA,LT,0,1, -   , 1.000000 
961,CHEVROLET,CORVETTE,BASE,0,3, -   , 1.000000 
962,CHEVROLET,CORVETTE,LT CONV,0,1, -   , 1.000000 
963,CHEVROLET,CORVETTE,Z06,0,1, -   , 1.000000 
964,CHEVROLET,EQUINOX,AWD LTZ,0,1, -   , 1.000000 
965,CHEVROLET,EQUINOX,LS FWD,0,3, -   , 1.000000 
966,CHEVROLET,EQUINOX,LT AWD,0,3, -   , 1.000000 
967,CHEVROLET,EQUINOX,LT FWD,0,1, -   , 1.000000 
968,CHEVROLET,EQUINOX,LT1 FWD,0,1, -   , 1.000000 
969,CHEVROLET,EQUINOX,LTZ AWD,0,3, -   , 1.000000 
970,CHEVROLET,EQUINOX,SPT,0,1, -   , 1.000000 
971,CHEVROLET,EQUINOX,V6 LT2 AWD,0,1, -   , 1.000000 
972,CHEVROLET,EQUINOX,V6 LTZ AWD DUAL REAR DVD,0,1, -   , 1.000000 
973,CHEVROLET,EXPRESS,2500,0,4, -   , 1.000000 
974,CHEVROLET,EXPRESS,WORK VAN,0,1, -   , 1.000000 
975,CHEVROLET,EXPRESS,LT 15 PASSENGER,0,1, -   , 1.000000 
976,CHEVROLET,EXPRESS,VAN 3500 EXT WB,0,1, -   , 1.000000 
977,CHEVROLET,G10,GLADIATOR,0,1, -   , 1.000000 
978,CHEVROLET,HHR,LS,0,7, -   , 1.000000 
979,CHEVROLET,HHR,LT,0,16, -   , 1.000000 
980,CHEVROLET,HHR,PANEL LS,0,2, -   , 1.000000 
981,CHEVROLET,HHR,SS,0,1, -   , 1.000000 
982,CHEVROLET,IMPALA,3.5L LT,0,2, -   , 1.000000 
983,CHEVROLET,IMPALA,LS FLEET,0,4, -   , 1.000000 
984,CHEVROLET,IMPALA,LT 3.5L,0,1, -   , 1.000000 
985,CHEVROLET,IMPALA,LT FLEET,0,5, -   , 1.000000 
986,CHEVROLET,IMPALA,LT LEATHER MOONROOF,0,1, -   , 1.000000 
987,CHEVROLET,IMPALA,LT MOONROOF,0,4, -   , 1.000000 
988,CHEVROLET,IMPALA,LT RETAIL,0,4, -   , 1.000000 
989,CHEVROLET,IMPALA,,0,3, -   , 1.000000 
990,CHEVROLET,LUMINA,,0,1, -   , 1.000000 
991,CHEVROLET,MALIBU,BASE,0,1, -   , 1.000000 
992,CHEVROLET,MALIBU,SEDAN,0,1, -   , 1.000000 
993,CHEVROLET,MALIBU,,0,1, -   , 1.000000 
994,CHEVROLET,MONTE CARLO,LS,0,3, -   , 1.000000 
995,CHEVROLET,MONTE CARLO,LT,0,1, -   , 1.000000 
996,CHEVROLET,S10,LS,0,1, -   , 1.000000 
997,CHEVROLET,SILVERADO 1500,4WD LT EXTENDED CAB Z71,0,1, -   , 1.000000 
998,CHEVROLET,SILVERADO 1500,4WD LT2 EXTENDED CAB Z71,0,1, -   , 1.000000 
999,CHEVROLET,SILVERADO 1500,CREW CAB LT,0,4, -   , 1.000000 
1000,CHEVROLET,SILVERADO 1500,CREW CAB LT 4X4,0,1, -   , 1.000000 
1001,CHEVROLET,SILVERADO 1500,EXTENDED CAB,0,2, -   , 1.000000 
1002,CHEVROLET,SILVERADO 1500,EXTENDED CAB LS 4X4,0,1, -   , 1.000000 
1003,CHEVROLET,SILVERADO 1500,LT 4WD CREW CAB,0,2, -   , 1.000000 
1004,CHEVROLET,SILVERADO 1500,LT 4WD EXTENDED CAB,0,2, -   , 1.000000 
1005,CHEVROLET,SILVERADO 1500,Z71,0,1, -   , 1.000000 
1006,CHEVROLET,SILVERADO 1500,,0,16, -   , 1.000000 
1007,CHEVROLET,SILVERADO 2500,LS 4WD REG CAB,0,1, -   , 1.000000 
1008,CHEVROLET,SILVERADO 2500,LS 4X4,0,1, -   , 1.000000 
1009,CHEVROLET,SILVERADO 2500,,0,4, -   , 1.000000 
1010,CHEVROLET,SILVERADO 3500,DRW LTZ,0,2, -   , 1.000000 
1011,CHEVROLET,SILVERADO 3500,SRW LT,0,3, -   , 1.000000 
1012,CHEVROLET,SILVERADO 3500,SRW LTZ,0,1, -   , 1.000000 
1013,CHEVROLET,SILVERADO 3500,,0,1, -   , 1.000000 
1014,CHEVROLET,SILVERADO1500,4WD REGULAR CAB,0,1, -   , 1.000000 
1015,CHEVROLET,SUBURBAN,LT 4X4,0,2, -   , 1.000000 
1016,CHEVROLET,SUBURBAN,LTZ 4X4,0,1, -   , 1.000000 
1017,CHEVROLET,SUBURBAN,Z71,0,1, -   , 1.000000 
1018,CHEVROLET,SUBURBAN,Z71 4X4,0,1, -   , 1.000000 
1019,CHEVROLET,TAHOE,LT REAR DVD MOONROOF,0,1, -   , 1.000000 
1020,CHEVROLET,TRAILBLAZER,EXT LT,0,1, -   , 1.000000 
1021,CHEVROLET,TRAILBLAZER,LS,0,3, -   , 1.000000 
1022,CHEVROLET,TRAILBLAZER,LS 4WD,0,1, -   , 1.000000 
1023,CHEVROLET,TRAILBLAZER,LT,0,3, -   , 1.000000 
1024,CHEVROLET,TRAILBLAZER,,0,4, -   , 1.000000 
1025,CHEVROLET,TRAVERSE,LT AWD,0,1, -   , 1.000000 
1026,CHEVROLET,UPLANDER,LT,0,1, -   , 1.000000 
1027,CHEVROLET,VENTURE,,0,1, -   , 1.000000 
1028,CHEVROLET,VENTURE,WARNER BROS,0,1, -   , 1.000000 
1029,CHRYSLER,200,TOURING CONV,0,1, -   , 1.000000 
1030,CHRYSLER,300,C,0,3, -   , 1.000000 
1031,CHRYSLER,300,C SRT8,0,1, -   , 1.000000 
1032,CHRYSLER,300,EXECUTIVE,0,2, -   , 1.000000 
1033,CHRYSLER,300,HEMI,0,1, -   , 1.000000 
1034,CHRYSLER,300,LIM,0,25, -   , 1.000000 
1035,CHRYSLER,300,LUX SERIES,0,1, -   , 1.000000 
1036,CHRYSLER,300,LX,0,3, -   , 1.000000 
1037,CHRYSLER,300,TOURING,0,7, -   , 1.000000 
1038,CHRYSLER,ASPEN,LIM,0,2, -   , 1.000000 
1039,CHRYSLER,INTREPID,BASE,0,1, -   , 1.000000 
1040,CHRYSLER,PACIFICA,LX,0,1, -   , 1.000000 
1041,CHRYSLER,PACIFICA,TOURING,0,2, -   , 1.000000 
1042,CHRYSLER,PT CRUISER,BASE,0,1, -   , 1.000000 
1043,CHRYSLER,PT CRUISER,GT,0,1, -   , 1.000000 
1044,CHRYSLER,PT CRUISER,LIM,0,2, -   , 1.000000 
1045,CHRYSLER,PT CRUISER,TOURING,0,2, -   , 1.000000 
1046,CHRYSLER,PT CRUISER,,0,2, -   , 1.000000 
1047,CHRYSLER,PT CRUISER,TOUR,0,1, -   , 1.000000 
1048,CHRYSLER,SEBRING,LIM,0,2, -   , 1.000000 
1049,CHRYSLER,SEBRING,LX,0,2, -   , 1.000000 
1050,CHRYSLER,SEBRING,LXI,0,1, -   , 1.000000 
1051,CHRYSLER,SEBRING,TOURING,0,4, -   , 1.000000 
1052,CHRYSLER,SEBRING,TOURING CONV,0,1, -   , 1.000000 
1053,CHRYSLER,SEBRING,,0,1, -   , 1.000000 
1054,CHRYSLER,TOWN & COUNTRY,LX,0,2, -   , 1.000000 
1055,DODGE,AVENGER,BASE,0,1, -   , 1.000000 
1056,DODGE,AVENGER,EXPRESS,0,1, -   , 1.000000 
1057,DODGE,AVENGER,LUX,0,2, -   , 1.000000 
1058,DODGE,AVENGER,MAINSTREET,0,1, -   , 1.000000 
1059,DODGE,AVENGER,R,0,1, -   , 1.000000 
1060,DODGE,CALIBER,HEAT,0,1, -   , 1.000000 
1061,DODGE,CALIBER,MAINSTREET,0,3, -   , 1.000000 
1062,DODGE,CALIBER,R,0,2, -   , 1.000000 
1063,DODGE,CALIBER,SXT,0,5, -   , 1.000000 
1064,DODGE,CARAVAN,BASE,0,1, -   , 1.000000 
1065,DODGE,CARAVAN,SXT,0,1, -   , 1.000000 
1066,DODGE,CHALLENGER,SE COUPE,0,1, -   , 1.000000 
1067,DODGE,CHARGER,R,0,5, -   , 1.000000 
1068,DODGE,CHARGER,RALLYE +S,0,1, -   , 1.000000 
1069,DODGE,DAKOTA,BASE,0,1, -   , 1.000000 
1070,DODGE,DAKOTA,SLT,0,1, -   , 1.000000 
1071,DODGE,DAKOTA,ST,0,1, -   , 1.000000 
1072,DODGE,DAKOTA,SXT,0,1, -   , 1.000000 
1073,DODGE,DURANGO,LIM,0,1, -   , 1.000000 
1074,DODGE,DURANGO,SLT,0,4, -   , 1.000000 
1075,DODGE,GRAND CARAVAN,MAINSTREET,0,1, -   , 1.000000 
1076,DODGE,GRAND CARAVAN,SPT,0,1, -   , 1.000000 
1077,DODGE,JOURNEY,MAINSTREET,0,3, -   , 1.000000 
1078,DODGE,JOURNEY,R,0,1, -   , 1.000000 
1079,DODGE,NEON,SE,0,1, -   , 1.000000 
1080,DODGE,NEON,SXT,0,1, -   , 1.000000 
1081,DODGE,NITRO,HEAT,0,5, -   , 1.000000 
1082,DODGE,NITRO,SE,0,3, -   , 1.000000 
1083,DODGE,NITRO,SXT,0,3, -   , 1.000000 
1084,DODGE,RAM 1500,CREW HEMI,0,1, -   , 1.000000 
1085,DODGE,RAM 1500,LARAMIE,0,1, -   , 1.000000 
1086,DODGE,RAM 1500,SLT,0,12, -   , 1.000000 
1087,DODGE,RAM 1500,SLT 4X4 HEMI,0,1, -   , 1.000000 
1088,DODGE,RAM 1500,ST,0,4, -   , 1.000000 
1089,DODGE,RAM 1500,,0,24, -   , 1.000000 
1090,DODGE,RAM 2500,SLT,0,2, -   , 1.000000 
1091,DODGE,RAM 2500,SLT 4X4,0,1, -   , 1.000000 
1092,DODGE,RAM 3500,LARAMIE,0,1, -   , 1.000000 
1093,DODGE,RAM 3500,SLT,0,2, -   , 1.000000 
1094,DODGE,RAM 3500,SLT QUAD CAB DUALLY 4WD CUMMINS DIESEL,0,1, -   , 1.000000 
1095,DODGE,RAM 3500,,0,4, -   , 1.000000 
1096,DODGE,RAM BR3500,,0,1, -   , 1.000000 
1097,DODGE,RAM SRT10,SRT,0,1, -   , 1.000000 
1098,DODGE,STRATUS,SE,0,2, -   , 1.000000 
1099,DODGE,STRATUS,SXT,0,1, -   , 1.000000 
1100,FIAT,500,POP,0,8, -   , 1.000000 
1101,FIAT,500,POP HB,0,4, -   , 1.000000 
1102,FIAT,500,SPT,0,2, -   , 1.000000 
1103,FORD,CONTOUR,SE,0,1, -   , 1.000000 
1104,FORD,CROWN VICTORIA,LX,0,4, -   , 1.000000 
1105,FORD,ECONOLINE,E-150,0,2, -   , 1.000000 
1106,FORD,ECONOLINE,E-250,0,8, -   , 1.000000 
1107,FORD,ECONOLINE,E-250 EXTENDED,0,2, -   , 1.000000 
1108,FORD,ECONOLINE,HANDICAP ACCESS,0,1, -   , 1.000000 
1109,FORD,ECONOLINE,XL,0,1, -   , 1.000000 
1110,FORD,ECONOLINE,XL 12 PASSENGER,0,1, -   , 1.000000 
1111,FORD,ECONOLINE,XLT 12 PASSENGER,0,6, -   , 1.000000 
1112,FORD,EDGE,LIM AWD,0,2, -   , 1.000000 
1113,FORD,EDGE,SEL +S,0,1, -   , 1.000000 
1114,FORD,EDGE,SPT AWD,0,1, -   , 1.000000 
1115,FORD,ESCAPE,LIM,0,12, -   , 1.000000 
1116,FORD,ESCAPE,LIM 4X4,0,2, -   , 1.000000 
1117,FORD,ESCAPE,XLS,0,5, -   , 1.000000 
1118,FORD,ESCAPE,XLT 4X4,0,3, -   , 1.000000 
1119,FORD,ESCAPE,XLTSP,0,1, -   , 1.000000 
1120,FORD,ESCORT,FLEET,0,1, -   , 1.000000 
1121,FORD,EXCURSION,EDDIE BAUER,0,1, -   , 1.000000 
1122,FORD,EXCURSION,LIM,0,1, -   , 1.000000 
1123,FORD,EXCURSION,,0,1, -   , 1.000000 
1124,FORD,EXPEDITION,EDDI,0,4, -   , 1.000000 
1125,FORD,EXPEDITION,EDDIE BAUER,0,9, -   , 1.000000 
1126,FORD,EXPEDITION,XL,0,1, -   , 1.000000 
1127,FORD,EXPLORER,EDDIE BAUER,0,6, -   , 1.000000 
1128,FORD,EXPLORER,XLS,0,1, -   , 1.000000 
1129,FORD,EXPLORER,XLS AWD,0,1, -   , 1.000000 
1130,FORD,EXPLORER,XLT 4WD,0,2, -   , 1.000000 
1131,FORD,EXPLORER,XLT 4X4,0,2, -   , 1.000000 
1132,FORD,EXPLORER,4WD XLT,0,1, -   , 1.000000 
1133,FORD,F150,HARLEY-DAVIDSON,0,1, -   , 1.000000 
1134,FORD,F150,LARIAT LIM,0,1, -   , 1.000000 
1135,FORD,F150,SUPER CREW LARIAT,0,1, -   , 1.000000 
1136,FORD,F150,SUPER CREW XLT,0,1, -   , 1.000000 
1137,FORD,F150,SUPERCREW XLT,0,2, -   , 1.000000 
1138,FORD,F150,XL 4WD,0,1, -   , 1.000000 
1139,FORD,F150,XLT 2WD SUPERCREW,0,1, -   , 1.000000 
1140,FORD,F150,XLT V6,0,1, -   , 1.000000 
1141,FORD,F150,HERTG,0,2, -   , 1.000000 
1142,FORD,FIESTA,SE HB,0,1, -   , 1.000000 
1143,FORD,FIESTA,SEL,0,3, -   , 1.000000 
1144,FORD,FIESTA,SES,0,1, -   , 1.000000 
1145,FORD,FIESTA,SES HB,0,1, -   , 1.000000 
1146,FORD,FIVE HUNDRED,SEL,0,2, -   , 1.000000 
1147,FORD,FLEX,LIMI,0,1, -   , 1.000000 
1148,FORD,FLEX,,0,1, -   , 1.000000 
1149,FORD,FOCUS,SE COMFORT,0,1, -   , 1.000000 
1150,FORD,FOCUS,SEL,0,8, -   , 1.000000 
1151,FORD,FOCUS,SES,0,5, -   , 1.000000 
1152,FORD,FREESTYLE,LIM,0,1, -   , 1.000000 
1153,FORD,FREESTYLE,SEL,0,2, -   , 1.000000 
1154,FORD,FUSION,SEL,0,14, -   , 1.000000 
1155,FORD,FUSION,SPT,0,3, -   , 1.000000 
1156,FORD,MUSTANG,BASE,0,4, -   , 1.000000 
1157,FORD,MUSTANG,COUPE V6,0,1, -   , 1.000000 
1158,FORD,MUSTANG,DELUX,0,1, -   , 1.000000 
1159,FORD,MUSTANG,DELUXE,0,2, -   , 1.000000 
1160,FORD,MUSTANG,GT COUPE,0,2, -   , 1.000000 
1161,FORD,MUSTANG,GT DELUXE,0,1, -   , 1.000000 
1162,FORD,MUSTANG,GT PREM COUPE,0,2, -   , 1.000000 
1163,FORD,MUSTANG,GT500,0,4, -   , 1.000000 
1164,FORD,MUSTANG,SHELBY GT,0,1, -   , 1.000000 
1165,FORD,MUSTANG,V6 CONV,0,12, -   , 1.000000 
1166,FORD,MUSTANG,V6 COUPE,0,1, -   , 1.000000 
1167,FORD,MUSTANG,V8 BOSS 302 COUPE,0,1, -   , 1.000000 
1168,FORD,POLICE INTERCEPTOR,POL,0,1, -   , 1.000000 
1169,FORD,RANGER,XL,0,1, -   , 1.000000 
1170,FORD,RANGER,XLT,0,3, -   , 1.000000 
1171,FORD,RANGER,,0,1, -   , 1.000000 
1172,FORD,F250,4WD XLT TURBO DIESEL EXTENDED CAB,0,1, -   , 1.000000 
1173,FORD,F350,KING RANCH FX4,0,1, -   , 1.000000 
1174,FORD,F350,KING RANCH 4X4,0,1, -   , 1.000000 
1175,FORD,F450,LARIAT 4X4,0,1, -   , 1.000000 
1176,FORD,TAURUS,SE STANDARD,0,2, -   , 1.000000 
1177,FORD,WINDSTAR,,0,1, -   , 1.000000 
1178,FORD,WINDSTAR,SE,0,1, -   , 1.000000 
1179,GMC,ACADIA,SL,0,1, -   , 1.000000 
1180,GMC,ACADIA,SL AWD,0,1, -   , 1.000000 
1181,GMC,ACADIA,SLE1,0,5, -   , 1.000000 
1182,GMC,ACADIA,SLT2,0,1, -   , 1.000000 
1183,GMC,CANYON,,0,1, -   , 1.000000 
1184,GMC,ENVOY,DENALI,0,2, -   , 1.000000 
1185,GMC,ENVOY,SLE,0,1, -   , 1.000000 
1186,GMC,ENVOY,,0,3, -   , 1.000000 
1187,GMC,ENVOY,SLT,0,1, -   , 1.000000 
1188,GMC,JIMMY,,0,1, -   , 1.000000 
1189,GMC,SIERRA 1500,4WD SLE CREW CAB,0,1, -   , 1.000000 
1190,GMC,SIERRA 1500,SL,0,1, -   , 1.000000 
1191,GMC,SIERRA 1500,SLE 4WD EXTENDED CAB,0,1, -   , 1.000000 
1192,GMC,SIERRA 1500,,0,10, -   , 1.000000 
1193,GMC,SIERRA 2500,4WD REGULAR CAB,0,1, -   , 1.000000 
1194,GMC,SIERRA 2500,,0,2, -   , 1.000000 
1195,GMC,SIERRA 2500,SLE1,0,1, -   , 1.000000 
1196,GMC,SONOMA,SLS,0,2, -   , 1.000000 
1197,GMC,SONOMA,,0,1, -   , 1.000000 
1198,GMC,SUBURBAN,,0,1, -   , 1.000000 
1199,GMC,TERRAIN,SLE-1,0,3, -   , 1.000000 
1200,GMC,TERRAIN,SLE-2,0,2, -   , 1.000000 
1201,GMC,TERRAIN,SLE-2 FWD,0,1, -   , 1.000000 
1202,GMC,TERRAIN,SLT FWD,0,1, -   , 1.000000 
1203,GMC,TERRAIN,SLT-2,0,1, -   , 1.000000 
1204,GMC,YUKON,SLT 4WD,0,1, -   , 1.000000 
1205,HARLEY,MC,,0,1, -   , 1.000000 
1206,HONDA,ACCORD,EX,0,21, -   , 1.000000 
1207,HONDA,ACCORD,EX COUPE,0,1, -   , 1.000000 
1208,HONDA,ACCORD,EX-L COUPE,0,4, -   , 1.000000 
1209,HONDA,ACCORD,LX-P,0,17, -   , 1.000000 
1210,HONDA,ACCORD,LX-S COUPE,0,1, -   , 1.000000 
1211,HONDA,ACCORD,SE,0,6, -   , 1.000000 
1212,HONDA,ACCORD,EX HB,0,3, -   , 1.000000 
1213,HONDA,ACCORD,EX-L HB,0,6, -   , 1.000000 
1214,HONDA,ACCORD,EX-L HB 4X4,0,5, -   , 1.000000 
1215,HONDA,ACCORD,NAV,0,1, -   , 1.000000 
1216,HONDA,ACCORD,,0,2, -   , 1.000000 
1217,HONDA,ACCORD,LX SE,0,1, -   , 1.000000 
1218,HONDA,CIVIC,DX,0,1, -   , 1.000000 
1219,HONDA,CIVIC,DX-VP,0,3, -   , 1.000000 
1220,HONDA,CIVIC,EX COUPE,0,4, -   , 1.000000 
1221,HONDA,CIVIC,EX-L,0,4, -   , 1.000000 
1222,HONDA,CIVIC,EX-L COUPE,0,1, -   , 1.000000 
1223,HONDA,CIVIC,LX COUPE,0,5, -   , 1.000000 
1224,HONDA,CIVIC,SI,0,7, -   , 1.000000 
1225,HONDA,CIVIC,,0,2, -   , 1.000000 
1226,HONDA,CRV,4WD EX-LEATHER MOONROOF,0,1, -   , 1.000000 
1227,HONDA,CRV,EX AWD,0,1, -   , 1.000000 
1228,HONDA,CRV,EX-L AWD,0,1, -   , 1.000000 
1229,HONDA,CRV,LX,0,6, -   , 1.000000 
1230,HONDA,CRV,SE,0,1, -   , 1.000000 
1231,HONDA,CRV,SPECIAL 4WD,0,1, -   , 1.000000 
1232,HONDA,CRZ,EX,0,1, -   , 1.000000 
1233,HONDA,ELEMENT,EX,0,2, -   , 1.000000 
1234,HONDA,ELEMENT,EX-P,0,1, -   , 1.000000 
1235,HONDA,ELEMENT,SC,0,1, -   , 1.000000 
1236,HONDA,FIT,,0,1, -   , 1.000000 
1237,HONDA,INSIGHT,EX HYBRID HB,0,1, -   , 1.000000 
1238,HONDA,INSIGHT,LX HYBRID HB,0,2, -   , 1.000000 
1239,HONDA,ODYSSEY,EX,0,1, -   , 1.000000 
1240,HONDA,ODYSSEY,LX,0,2, -   , 1.000000 
1241,HONDA,ODYSSEY,TOURING,0,2, -   , 1.000000 
1242,HONDA,PILOT,EX,0,2, -   , 1.000000 
1243,HONDA,PILOT,LX,0,3, -   , 1.000000 
1244,HONDA,RANCHER,,0,1, -   , 1.000000 
1245,HONDA,RIDGELINE,CREW CAB RTL 4X4,0,1, -   , 1.000000 
1246,HONDA,RIDGELINE,RTL,0,2, -   , 1.000000 
1247,HONDA,S2000,2DR ROADSTER CONV,0,1, -   , 1.000000 
1248,HONDA MOTORCYCLE,SHADOW 1100,,0,1, -   , 1.000000 
1249,HUMMER,H2,,0,3, -   , 1.000000 
1250,HUMMER,H3,4WD,0,1, -   , 1.000000 
1251,HUMMER,H3,SUV,0,4, -   , 1.000000 
1252,HUMMER,H3,,0,2, -   , 1.000000 
1253,HYUNDAI,SONATA,HYBRID,0,2, -   , 1.000000 
1254,HYUNDAI,ACCENT,GL,0,1, -   , 1.000000 
1255,HYUNDAI,ACCENT,,0,1, -   , 1.000000 
1256,HYUNDAI,AZERA,4DR,0,1, -   , 1.000000 
1257,HYUNDAI,ELANTRA,WAGON GLS,0,2, -   , 1.000000 
1258,HYUNDAI,GENESIS,3.8,0,2, -   , 1.000000 
1259,HYUNDAI,GENESIS,,0,2, -   , 1.000000 
1260,HYUNDAI,GENESIS,TRACK,0,1, -   , 1.000000 
1261,HYUNDAI,SANTA FE,GLS AWD,0,1, -   , 1.000000 
1262,HYUNDAI,SANTA FE,LX,0,1, -   , 1.000000 
1263,HYUNDAI,SONATA,LTD,0,1, -   , 1.000000 
1264,HYUNDAI,TIBURON,GS,0,2, -   , 1.000000 
1265,HYUNDAI,TIBURON,,0,2, -   , 1.000000 
1266,HYUNDAI,TUCSON,GL,0,2, -   , 1.000000 
1267,INFINITI,EX35,AWD,0,2, -   , 1.000000 
1268,INFINITI,EX35,JOURNEY,0,2, -   , 1.000000 
1269,INFINITI,EX35,,0,5, -   , 1.000000 
1270,INFINITI,FX35,AWD,0,7, -   , 1.000000 
1271,INFINITI,FX35,,0,8, -   , 1.000000 
1272,INFINITI,FX45,,0,1, -   , 1.000000 
1273,INFINITI,G25,X AWD,0,4, -   , 1.000000 
1274,INFINITI,G25,,0,1, -   , 1.000000 
1275,INFINITI,G35,COUPE,0,1, -   , 1.000000 
1276,INFINITI,G35,,0,4, -   , 1.000000 
1277,INFINITI,G35,AWD,0,1, -   , 1.000000 
1278,INFINITI,G37,CONV,0,1, -   , 1.000000 
1279,INFINITI,G37,COUPE,0,14, -   , 1.000000 
1280,INFINITI,G37,COUPE X AWD,0,12, -   , 1.000000 
1281,INFINITI,G37,SEDAN,0,14, -   , 1.000000 
1282,INFINITI,G37,SEDAN X AWD,0,29, -   , 1.000000 
1283,INFINITI,G37,SPT,0,1, -   , 1.000000 
1284,INFINITI,G37,JOURNEY,0,4, -   , 1.000000 
1285,INFINITI,G37,,0,1, -   , 1.000000 
1286,INFINITI,G37,X,0,1, -   , 1.000000 
1287,INFINITI,G37,AWD,0,3, -   , 1.000000 
1288,INFINITI,M35,AWD,0,1, -   , 1.000000 
1289,INFINITI,M35,X AWD,0,5, -   , 1.000000 
1290,INFINITI,M35,,0,4, -   , 1.000000 
1291,INFINITI,M37,4DR,0,1, -   , 1.000000 
1292,INFINITI,M37,4DR SDN RWD,0,1, -   , 1.000000 
1293,INFINITI,M37,X AWD,0,7, -   , 1.000000 
1294,INFINITI,M37,,0,4, -   , 1.000000 
1295,INFINITI,QX56,4X4,0,2, -   , 1.000000 
1296,INFINITI,QX56,8-PASSENGER,0,1, -   , 1.000000 
1297,INFINITI,QX56,RWD,0,1, -   , 1.000000 
1298,INFINITI,QX56,,0,5, -   , 1.000000 
1299,INTERNATIONAL,S1700,,0,1, -   , 1.000000 
